Rank,Year,Artist,Song1,Chart_Year
1,1956,The Five Satins,In The Still Of The Nite,1979
2,1977,Elvis Presley,My Way,1979
3,1959,Bobby Darin,Mack The Knife,1979
4,1959,Dion And The Belmonts,A Teenager In Love,1979
5,1968,The Beatles,Hey Jude,1979
6,1956,Elvis Presley,Love Me Tender,1979
7,1954,The Penguins,Hey Senorita,1979
8,1964,The 4 Seasons,Rag Doll,1979
9,1958,The Skyliners,Since I Don't Have You,1979
10,1971,Chicago,Beginnings,1979
11,1957,Elvis Presley,Jailhouse Rock,1979
12,1957,Johnny Mathis,Chances Are,1979
13,1966,The 4 Seasons,I've Got You Under My Skin,1979
14,1977,Debby Boone,You Light Up My Life,1979
15,1977,Billy Joel,Just The Way You Are,1979
16,1965,Jay And The Americans,"Cara, Mia",1979
17,1957,Mello-Kings,"Tonite, Tonite",1979
18,1956,Elvis Presley,Don't Be Cruel,1979
19,1961,The Angels,Til,1979
20,1955,The Platters,The Great Pretender,1979
21,1966,The Happenings,See You In September,1979
22,1965,The Beatles,Yesterday,1979
23,1963,Randy And The Rainbows,Denise,1979
24,1969,Frank Sinatra,My Way,1979
25,1961,Elvis Presley,Can't Help Falling In Love,1979
26,1959,The Flamingos,I Only Have Eyes For You,1979
27,1964,The 4 Seasons,Dawn (Go Away),1979
28,1962,The Duprees,You Belong To Me,1979
29,1978,Village People,Y.M.C.A.,1979
30,1957,Johnny Mathis,Chances Are,1979
31,1962,Elvis Presley With The Jordanaires,Return To Sender,1979
32,1962,The Shirelles,Soldier Boy,1979
33,1968,Brooklyn Bridge,Worst That Could Happen,1979
34,1959,Paul Anka,Put Your Head On My Shoulder,1979
35,1958,The Videos,"Trickle, Trickle",1979
36,1979,Peaches And Herb,Reunited,1979
37,1958,Little Anthony And The Imperials,Tears On My Pillow,1979
38,1965,The Beatles,Help!,1979
39,1956,Fats Domino,Blueberry Hill,1979
40,1978,Commodores,Three Times A Lady,1979
41,1960,The Shirelles,Will You Love Me Tomorrow,1979
42,1962,The 4 Seasons,Sherry,1979
43,1970,Elvis Presley,The Wonder Of You,1979
44,1966,The Association,Cherish,1979
45,1956,The Platters,My Prayer,1979
46,1975,Barry Manilow,I Write The Songs,1979
47,1968,Jay And The Americans,This Magic Moment,1979
48,1960,Elvis Presley With The Jordanaires,Are You Lonesome To-night?,1979
49,1962,The Earls,Remember Then,1979
50,1979,Bee Gees,Tragedy,1979
1,1956,The Five Satins,The Jones Girl,1979
2,1977,Elvis Presley,America,1979
3,1959,Bobby Darin,Was There A Call For Me,1979
4,1959,Dion And The Belmonts,I've Cried Before,1979
5,1968,The Beatles,Revolution,1979
6,1956,Elvis Presley,Anyway You Want Me (That's How I'll Be),1979
7,1954,The Penguins,Earth Angel,1979
8,1964,The 4 Seasons,Silence Is Golden,1979
9,1958,The Skyliners,"One Night, One Night",1979
10,1971,Chicago,Colour My World,1979
11,1957,Elvis Presley,Treat Me Nice,1979
12,1957,Johnny Mathis,The Twelfth Of Never,1979
13,1966,The 4 Seasons,Huggin' My Pillow,1979
14,1977,Debby Boone,Hasta Mañana,1979
15,1977,Billy Joel,Get It Right The First Time,1979
16,1965,Jay And The Americans,When It's All Over,1979
17,1957,Mello-Kings,Do Baby Do,1979
18,1956,Elvis Presley,Hound Dog,1979
19,1961,The Angels,A Moment Ago,1979
20,1955,The Platters,I'm Just A Dancing Partner,1979
21,1966,The Happenings,He Thinks He's A Hero,1979
22,1965,The Beatles,Act Naturally,1979
23,1963,Randy And The Rainbows,Come Back,1979
24,1969,Frank Sinatra,Blue Lace,1979
25,1961,Elvis Presley,Rock-A-Hula Baby,1979
26,1959,The Flamingos,Goodnight Sweetheart,1979
27,1964,The 4 Seasons,No Surfin' Today,1979
28,1962,The Duprees,Take Me As I Am,1979
29,1978,Village People,The Women,1979
30,1957,Johnny Mathis,The Twelfth Of Never,1979
31,1962,Elvis Presley With The Jordanaires,Where Do You Come From,1979
32,1962,The Shirelles,Love Is A Swingin' Thing,1979
33,1968,Brooklyn Bridge,"Your Kite, My Kite.",1979
34,1959,Paul Anka,Don't Ever Leave Me,1979
35,1958,The Videos,"Moonglow, You Know",1979
36,1979,Peaches And Herb,Easy As Pie,1979
37,1958,Little Anthony And The Imperials,Two People In The World,1979
38,1965,The Beatles,I'm Down,1979
39,1956,Fats Domino,Honey Chile,1979
40,1978,Commodores,Look What You've Done To Me,1979
41,1960,The Shirelles,Boys,1979
42,1962,The 4 Seasons,I've Cried Before,1979
43,1970,Elvis Presley,Mama Liked The Roses,1979
44,1966,The Association,Don't Blame It On Me,1979
45,1956,The Platters,Heaven On Earth,1979
46,1975,Barry Manilow,A Nice Boy Like Me,1979
47,1968,Jay And The Americans,Since I Don't Have You,1979
48,1960,Elvis Presley With The Jordanaires,I Gotta Know,1979
49,1962,The Earls,Let's Waddle,1979
50,1979,Bee Gees,Until,1979
51,1961,Dion,Runaround Sue,1979
52,1976,Engelbert Humperdinck,After The Lovin',1979
53,1962,The Excellents,Coney Island Baby,1979
54,1965,The Rolling Stones,(I Can't Get No) Satisfaction,1979
55,1972,Roberta Flack,The First Time Ever I Saw Your Face,1979
56,1969,Elvis Presley,Suspicious Minds,1979
57,1959,The Skyliners,This I Swear,1979
58,1978,Anne Murray,You Needed Me,1979
59,1957,Paul Anka,Diana,1979
60,1955,The Platters,Only You (And You Alone),1979
61,1978,Donna Summer,Last Dance,1979
62,1976,Barbra Streisand,"Love Theme From ""A Star Is Born"" (Evergreen)",1979
63,1961,Chubby Checker,The Twist,1979
64,1958,Tommy Edwards,It's All In The Game,1979
65,1967,The Doors,Light My Fire,1979
66,1958,The Crests,16 Candles,1979
67,1969,Elvis Presley,Memories,1979
68,1964,The Supremes,Baby Love,1979
69,1964,The Drifters,Under The Boardwalk,1979
70,1979,Blondie,Heart Of Glass,1979
71,1962,The Duprees,My Own True Love,1979
72,1978,Barry Manilow,Copacabana (At The Copa) [Long Version],1979
73,1963,The Beach Boys,Surfer Girl,1979
74,1970,Diana Ross,Ain't No Mountain High Enough,1979
75,1961,Dion,The Wanderer,1979
76,1970,Simon And Garfunkel,Bridge Over Troubled Water,1979
77,1972,Led Zeppelin,Stairway To Heaven [Mono],1979
78,1954,Bill Haley And His Comets,Thirteen Women (And Only One Man In Town),1979
79,1965,The 4 Seasons,Let's Hang On!,1979
80,1957,Danny And The Juniors,At The Hop,1979
81,1973,Jim Croce,"Bad, Bad Leroy Brown",1979
82,1960,"The Chimes [60s, Brooklyn]",Once In Awhile,1979
83,1958,The Elegants,Little Star,1979
84,1963,Jan And Dean,Surf City,1979
85,1963,The Tymes,So Much In Love,1979
86,1961,The Cleftones,Heart And Soul,1979
